# Mode_Initial: ST
# Mode_Cible: ECO
# Date: 2025-10-04 14:10:26
Timestamp,Elapsed,Phase,Phase_Progress,Mode,Temp_Eau,Consigne,Heater,Pump,Blower,Light,Frame
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C07031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C08031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C09031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0A031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0B031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0C031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0D031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,0.0,Initialisation,0.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0E031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,2.0,Initialisation,2.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C0F031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:28,2.0,Initialisation,2.0,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C10031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:29,2.5,Initialisation,2.5,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C11031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:30,3.4,Initialisation,3.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C12031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:31,4.4,Initialisation,4.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C13031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:32,5.4,Initialisation,5.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C14031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:33,6.4,Initialisation,6.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C15031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:34,7.4,Initialisation,7.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C16031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:35,8.4,Initialisation,8.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C17031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:36,9.4,Initialisation,9.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C18031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,10.4,Changement mode,0.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C19031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,16.3,Changement mode,6.3,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1A031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,16.3,Changement mode,6.3,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1B031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,16.3,Changement mode,6.3,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1C031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,16.3,Changement mode,6.3,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1D031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:42,16.3,Changement mode,6.3,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1E031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:43,16.8,Changement mode,6.8,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C1F031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:44,17.4,Changement mode,7.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C20031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:45,18.4,Changement mode,8.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C21031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:46,19.4,Changement mode,9.4,ST,32.0,38.0,ON,LOW,OFF,OFF,643F2B403F4C22031104010005000D00110118C10000A9203F0000
2025-10-04 14:10:47,20.4,Changement mode,10.4,SL,32.0,38.0,OFF,LOW,OFF,OFF,643F2B403F4C23031104010005000D00110108420000A9603F0000
2025-10-04 14:10:48,21.4,Changement mode,11.4,SL,32.0,38.0,OFF,LOW,OFF,OFF,643F2B403F4C24031104010005000D00110108420000A9603F0000
2025-10-04 14:10:49,22.4,Changement mode,12.4,SL,32.0,38.0,OFF,LOW,OFF,OFF,643F2B403F4C25031104010005000D00110108420000A9603F0000
2025-10-04 14:10:50,23.4,Changement mode,13.4,SL,32.0,38.0,OFF,LOW,OFF,OFF,643F2B403F4C26031104010005000D00110108420000A9603F0000
2025-10-04 14:10:51,24.4,Changement mode,14.4,SL,32.0,38.0,OFF,LOW,OFF,OFF,643F2B403F4C27031104010005000D00110108420000A9603F0000
